Reference, Value, Footprint, Datasheet
R1,220,Resistors_SMD:R_0402,
R2,220,Resistors_SMD:R_0402,
R3,220,Resistors_SMD:R_0402,
R9,220,Resistors_SMD:R_0402,
R11,220,Resistors_SMD:R_0402,
R14,220,Resistors_SMD:R_0402,
R15,220,Resistors_SMD:R_0402,
R12,10k,Resistors_SMD:R_0402,
R6,10k,Resistors_SMD:R_0402,
R5,220,Resistors_SMD:R_0402,
R7,220,Resistors_SMD:R_0402,
R8,220,Resistors_SMD:R_0402,
R10,220,Resistors_SMD:R_0402,
R13,220,Resistors_SMD:R_0402,
U1,4015,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
U3,4015,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
R4,220,Resistors_SMD:R_0402,
P1,Input,Socket_Strips:Socket_Strip_Angled_1x02,
P2,Output,Socket_Strips:Socket_Strip_Angled_1x02,
U6,4051,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
SW1,DIPS_04,Sockets_DIP:DIP-8__300,
R18,10k,Resistors_SMD:R_0402,
R19,10k,Resistors_SMD:R_0402,
R20,10k,Resistors_SMD:R_0402,
R21,10k,Resistors_SMD:R_0402,
U2,4050,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
U4,4050,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
R22,0R,Resistors_SMD:R_0402,
P3,Power,Socket_Strips:Socket_Strip_Angled_1x03,
R16,10k,Resistors_SMD:R_0402,
C1,100n,Capacitors_SMD:C_0402,
P4,CONN_01X05,Socket_Strips:Socket_Strip_Angled_1x05,
P5,CONN_01X05,Socket_Strips:Socket_Strip_Angled_1x05,
P6,CONN_01X06,Socket_Strips:Socket_Strip_Angled_1x06,
Q1,Q_NMOS_DGS,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,
JP1,JUMPER,Resistors_SMD:R_0805_HandSoldering,
JP2,JUMPER,Resistors_SMD:R_0805_HandSoldering,
JP3,JUMPER,Resistors_SMD:R_0805_HandSoldering,
JP4,JUMPER,Resistors_SMD:R_0805_HandSoldering,
C2,100n,Capacitors_SMD:C_0402,
C3,100n,Capacitors_SMD:C_0402,
C4,100n,Capacitors_SMD:C_0402,
C5,100n,Capacitors_SMD:C_0402,
C6,100n,Capacitors_SMD:C_0402,
